empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C0034100D,,,,,,,,,1.000000,,1,STAND,0,0_C0034100D,,0_C0034100D_STAND
,C0014100D,,,,,,,,,1.000000,,1,STAND,0,0_C0014100D,,0_C0014100D_STAND
,C0024100D,,,,,,,,,1.000000,,1,STAND,0,0_C0024100D,,0_C0024100D_STAND
,C0035100D,,,,,,,,,1.000000,,1,STAND,0,0_C0035100D,,0_C0035100D_STAND
,C0015100D,,,,,,,,,1.000000,,1,STAND,0,0_C0015100D,,0_C0015100D_STAND
,C0025100D,,,,,,,,,1.000000,,1,STAND,0,0_C0025100D,,0_C0025100D_STAND
,C0034302D,,,,,,,,,1.000000,,1,STAND,0,0_C0034302D,,0_C0034302D_STAND
,C0033100E,,,,,,,,,1.000000,,1,STAND,0,0_C0033100E,,0_C0033100E_STAND
,C0012100E,,,,,,,,,1.000000,,1,STAND,0,0_C0012100E,,0_C0012100E_STAND
,C0012200E,,,,,,,,,1.000000,,1,STAND,0,0_C0012200E,,0_C0012200E_STAND
,C0011200E,,,,,,,,,1.000000,,1,STAND,0,0_C0011200E,,0_C0011200E_STAND
,C0021200E,,,,,,,,,1.000000,,1,STAND,0,0_C0021200E,,0_C0021200E_STAND
,C0031200E,,,,,,,,,1.000000,,1,STAND,0,0_C0031200E,,0_C0031200E_STAND
,C0063100E,,,,,,,,,1.000000,,1,STAND,0,0_C0063100E,,0_C0063100E_STAND
,C0063200E,,,,,,,,,1.000000,,1,STAND,0,0_C0063200E,,0_C0063200E_STAND
,C0042100E,,,,,,,,,1.000000,,1,STAND,0,0_C0042100E,,0_C0042100E_STAND
,C0042200E,,,,,,,,,1.000000,,1,STAND,0,0_C0042200E,,0_C0042200E_STAND
,C0052200E,,,,,,,,,1.000000,,1,STAND,0,0_C0052200E,,0_C0052200E_STAND
,C0041200E,,,,,,,,,1.000000,,1,STAND,0,0_C0041200E,,0_C0041200E_STAND
,C0051200E,,,,,,,,,1.000000,,1,STAND,0,0_C0051200E,,0_C0051200E_STAND
,C0061200E,,,,,,,,,1.000000,,1,STAND,0,0_C0061200E,,0_C0061200E_STAND
