empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000033,PC,1,11,,,,0,1,1_1,1_1_PC_23000033_11,1_1_PC_23000033_11
1,2023,23000033,PC,1,12,,,,0,1,1_1,1_1_PC_23000033_12,1_1_PC_23000033_12
1,2023,23000033,PC,1,13,,,,0,1,1_1,1_1_PC_23000033_13,1_1_PC_23000033_13
1,2023,23000033,PC,1,14,,,,0,1,1_1,1_1_PC_23000033_14,1_1_PC_23000033_14
1,2023,23000033,PC,1,15,,,,0,1,1_1,1_1_PC_23000033_15,1_1_PC_23000033_15
1,2023,23000033,PC,1,16,,,,0,1,1_1,1_1_PC_23000033_16,1_1_PC_23000033_16
1,2023,23000046,PC,1,1,,,,0,1,1_1,1_1_PC_23000046_1,1_1_PC_23000046_1
1,2023,23000046,PC,1,2,,,,0,1,1_1,1_1_PC_23000046_2,1_1_PC_23000046_2
1,2023,23000036,PC,1,1,,,,0,1,1_1,1_1_PC_23000036_1,1_1_PC_23000036_1
1,2023,23000036,PC,1,2,,,,0,1,1_1,1_1_PC_23000036_2,1_1_PC_23000036_2
1,2023,23000011,PC,1,1,,,,0,1,1_1,1_1_PC_23000011_1,1_1_PC_23000011_1
1,2023,23000011,PC,1,2,,,,0,1,1_1,1_1_PC_23000011_2,1_1_PC_23000011_2
1,2023,23000011,PC,1,3,,,,0,1,1_1,1_1_PC_23000011_3,1_1_PC_23000011_3
1,2023,23000113,PC,1,1,,,,0,1,1_1,1_1_PC_23000113_1,1_1_PC_23000113_1
1,2023,23000062,PC,1,1,,,,0,1,1_1,1_1_PC_23000062_1,1_1_PC_23000062_1
1,2023,23000062,PC,1,2,,,,0,1,1_1,1_1_PC_23000062_2,1_1_PC_23000062_2
1,2023,23000046,PC,1,3,,,,0,1,1_1,1_1_PC_23000046_3,1_1_PC_23000046_3
1,2023,23000046,PC,1,4,,,,0,1,1_1,1_1_PC_23000046_4,1_1_PC_23000046_4
1,2023,23000062,PC,1,3,,,,0,1,1_1,1_1_PC_23000062_3,1_1_PC_23000062_3
1,2023,23000062,PC,1,4,,,,0,1,1_1,1_1_PC_23000062_4,1_1_PC_23000062_4
1,2023,23000063,PC,1,1,,,,0,1,1_1,1_1_PC_23000063_1,1_1_PC_23000063_1
1,2023,23000063,PC,1,2,,,,0,1,1_1,1_1_PC_23000063_2,1_1_PC_23000063_2
1,2023,23000049,PC,1,1,,,,0,1,1_1,1_1_PC_23000049_1,1_1_PC_23000049_1
1,2023,23000049,PC,1,2,,,,0,1,1_1,1_1_PC_23000049_2,1_1_PC_23000049_2
1,2023,23000037,PC,1,1,,,,0,1,1_1,1_1_PC_23000037_1,1_1_PC_23000037_1
1,2023,23000037,PC,1,2,,,,0,1,1_1,1_1_PC_23000037_2,1_1_PC_23000037_2
1,2023,23000039,PC,1,2,,,,0,1,1_1,1_1_PC_23000039_2,1_1_PC_23000039_2
1,2023,23000042,PC,1,1,,,,0,1,1_1,1_1_PC_23000042_1,1_1_PC_23000042_1
1,2023,23000054,PC,1,1,,,,0,1,1_1,1_1_PC_23000054_1,1_1_PC_23000054_1
1,2023,23000054,PC,1,2,,,,0,1,1_1,1_1_PC_23000054_2,1_1_PC_23000054_2
1,2023,23000066,PC,1,1,,,,0,1,1_1,1_1_PC_23000066_1,1_1_PC_23000066_1
1,2023,23000035,PC,1,1,,,,0,1,1_1,1_1_PC_23000035_1,1_1_PC_23000035_1
1,2023,23000046,PC,1,5,,,,0,1,1_1,1_1_PC_23000046_5,1_1_PC_23000046_5
1,2023,23000046,PC,1,6,,,,0,1,1_1,1_1_PC_23000046_6,1_1_PC_23000046_6
1,2023,23000078,PC,1,1,,,,0,1,1_1,1_1_PC_23000078_1,1_1_PC_23000078_1
1,2023,23000044,PC,1,1,,,,0,1,1_1,1_1_PC_23000044_1,1_1_PC_23000044_1
1,2023,23000044,PC,1,2,,,,0,1,1_1,1_1_PC_23000044_2,1_1_PC_23000044_2
1,2023,23000035,PC,1,2,,,,0,1,1_1,1_1_PC_23000035_2,1_1_PC_23000035_2
1,2023,23000035,PC,1,3,,,,0,1,1_1,1_1_PC_23000035_3,1_1_PC_23000035_3
